Dates,Sales
11/17/2022,1375
11/18/2022,2188.25
11/19/2022,2515
11/20/2022,3316.75
11/21/2022,3008.5
11/22/2022,2436.75
11/23/2022,3089
11/24/2022,1540.5
11/25/2022,4103.75
11/26/2022,2559.25
11/27/2022,2948.25
11/28/2022,1252.75
11/29/2022,1622.75
11/30/2022,1315
12/01/2022,932.75
12/02/2022,489
12/03/2022,1829.5
12/04/2022,2861.5
12/05/2022,1312.75
12/06/2022,1540
12/07/2022,1453.5
12/08/2022,1191
12/09/2022,1007.75
12/10/2022,1776.25
12/11/2022,948.25
12/12/2022,981
12/13/2022,1530.25
12/14/2022,997.75
12/15/2022,825.5
12/16/2022,1718
12/17/2022,2122.25
12/18/2022,2278.25
12/19/2022,2255.5
12/20/2022,2096
12/21/2022,2529.5
12/22/2022,2269.25
12/23/2022,2660
12/24/2022,2686.5
12/25/2022,
12/26/2022,6012.25
12/27/2022,1782.75
12/28/2022,2392.75
12/29/2022,1447.5
12/30/2022,1342.75
12/31/2022,553.5
01/01/2023,2298.5
01/02/2023,2108.5
01/03/2023,1025.25
01/04/2023,664.75
01/05/2023,924.75
01/06/2023,1291.75
01/07/2023,2993.25
01/08/2023,2742.5
01/09/2023,740.75
01/10/2023,580
01/11/2023,1487.5
01/12/2023,1517.75
01/13/2023,1308.75
01/14/2023,1057.75
01/15/2023,1568.5
01/16/2023,2455
01/17/2023,1619.5
01/18/2023,1614.25
01/19/2023,993
01/20/2023,1344.5
01/21/2023,2676
01/22/2023,3418.25
01/23/2023,1175.5
01/24/2023,1575.5
01/25/2023,2004.75
01/26/2023,1508.75
01/27/2023,1455.75
01/28/2023,3420.25
01/29/2023,2079.25
01/30/2023,1123.75
01/31/2023,1673.25
02/01/2023,1853.25
02/02/2023,1332.25
02/03/2023,2211.5
02/04/2023,4175.25
02/05/2023,3335
02/06/2023,1767
02/07/2023,1721.75
02/08/2023,1748
02/09/2023,1567.75
02/10/2023,2307
02/11/2023,2562.5
02/12/2023,2319
02/13/2023,1621.5
02/14/2023,955.25
02/15/2023,1330
02/16/2023,1034.75
02/17/2023,1924.75
02/18/2023,3100
02/19/2023,4225.75
02/20/2023,5489.75
02/21/2023,1736
02/22/2023,1126.5
02/23/2023,652.5
02/24/2023,714.75
02/25/2023,1472.75
02/26/2023,2854.25
02/27/2023,872.5
02/28/2023,1347.75
03/01/2023,1381.5
03/02/2023,1150.25
03/03/2023,1678
03/04/2023,2424.5
03/05/2023,1751
03/06/2023,1428
03/07/2023,1374.25
03/08/2023,1615.75
03/09/2023,1290.75
03/10/2023,874.75
03/11/2023,1998.5
03/12/2023,2466.25
03/13/2023,1377.5
03/14/2023,1203.75
03/15/2023,1085.75
03/16/2023,1111.25
03/17/2023,2785.25
03/18/2023,4616
03/19/2023,2019.75
03/20/2023,1375.25
03/21/2023,894.25
03/22/2023,1058.25
03/23/2023,1702.75
03/24/2023,1862
03/25/2023,4734.25
03/26/2023,3754
03/27/2023,2575.5
03/28/2023,2726.5
03/29/2023,831.5
03/30/2023,1330.5
03/31/2023,1979.5
04/01/2023,4096.6
04/02/2023,3529.5
04/03/2023,2120.75
04/04/2023,2129.75
04/05/2023,2192.75
04/06/2023,2479
04/07/2023,3640.5
04/08/2023,4691.25
04/09/2023,4055.75
04/10/2023,2481
04/11/2023,1683.25
04/12/2023,1798
04/13/2023,1450.75
04/14/2023,2075.25
04/15/2023,4369.25
04/16/2023,3694.75
04/17/2023,1320.75
04/18/2023,1537.25
04/19/2023,1452.25
04/20/2023,1580.75
04/21/2023,5004.25
04/22/2023,7067.75
04/23/2023,5918
04/24/2023,1790
04/25/2023,2068
04/26/2023,1357.5
04/27/2023,1160.25
04/28/2023,1871.25
04/29/2023,3019.5
04/30/2023,3055.5
05/01/2023,1150.5
05/02/2023,1716.5
05/03/2023,1707
05/04/2023,1155
05/05/2023,2381
05/06/2023,2725.75
05/07/2023,5228.75
05/08/2023,1771
05/09/2023,1931.5
05/10/2023,1731.5
05/11/2023,1608.25
05/12/2023,3234
05/13/2023,4947
05/14/2023,5486
05/15/2023,1782.25
05/16/2023,1191.25
05/17/2023,1900.25
05/18/2023,1178.5
05/19/2023,1933.5
05/20/2023,2406
05/21/2023,4097
05/22/2023,1581.75
05/23/2023,1617.5
05/24/2023,1674.25
05/25/2023,1668.5
05/26/2023,3809.25
05/27/2023,5817.25
05/28/2023,5149.75
05/29/2023,9285.5
05/30/2023,1572.5
05/31/2023,2168
06/01/2023,1872
06/02/2023,3692.75
06/03/2023,5613.5
06/04/2023,3737
06/05/2023,1519.25
06/06/2023,2231
06/07/2023,2358.5
06/08/2023,2873.25
06/09/2023,4292.75
06/10/2023,3320.25
06/11/2023,2564.75
06/12/2023,2651.75
06/13/2023,3089
06/14/2023,2875
06/15/2023,2391.5
06/16/2023,3179
06/17/2023,5522.25
06/18/2023,3216.25
06/19/2023,4150
06/20/2023,3435.25
